"space","spc"
"apostrophe","apostrophe"
"period","dot"
"minus","minus"
"comma","comma"
"slash","slash"
"0","0"
"1","1"
"2","2"
"3","3"
"4","4"
"5","5"
"6","6"
"7","7"
"8","8"
"9","9"
"semicolon","semicolon"
"equal","equal"
"bracketleft","bracket_left"
"backslash","backslash"
"bracketright","bracket_right"
"grave","grave_accent"
"a","a"
"b","b"
"c","c"
"d","d"
"e","e"
"f","f"
"g","g"
"h","h"
"i","i"
"j","j"
"k","k"
"l","l"
"m","m"
"n","n"
"o","o"
"p","p"
"q","q"
"r","r"
"s","s"
"t","t"
"u","u"
"v","v"
"w","w"
"x","x"
"y","y"
"z","z"
"braceleft","bracket_left"
"braceright","bracket_right"
"multiply","kp_multiply"
"BackSpace","backspace"
"Tab","tab"
"Return","ret"
"Pause","pause"
"Scroll_Lock","scroll_lock"
"Sys_Req","sysrq"
"Escape","esc"
"Home","home"
"Left","left"
"Up","up"
"Right","right"
"Down","down"
"Page_Up","pgup"
"Page_Down","pgdn"
"End","end"
"Insert","insert"
"Num_Lock","num_lock"
"KP_Enter","kp_enter"
"KP_Add","kp_add"
"KP_Subtract","kp_subtract"
"KP_Decimal","kp_decimal"
"KP_Divide","kp_divide"
"KP_Equal","kp_equals"
"KP_0","kp_0"
"KP_1","kp_1"
"KP_2","kp_2"
"KP_3","kp_3"
"KP_4","kp_4"
"KP_5","kp_5"
"KP_6","kp_6"
"KP_7","kp_7"
"KP_8","kp_8"
"KP_9","kp_9"
"F1","f1"
"F2","f2"
"F3","f3"
"F4","f4"
"F5","f5"
"F6","f6"
"F7","f7"
"F8","f8"
"F9","f9"
"F10","f10"
"F11","f11"
"F12","f12"
"Shift_L","shift"
"Shift_R","shift_r"
"Control_L","ctrl"
"Control_R","ctrl_r"
"Caps_Lock","caps_lock"
"Meta_L","meta_l"
"Meta_R","meta_r"
"Alt_L","alt"
"Alt_R","alt_r"
"Delete","delete"
"Compose","compose"
